Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Machine failure,TWF,HDF,PWF,OSF,RNF,Temperature_Difference,Mechanical_Stress,Type_Encoded,Type_H,Type_L,Type_M,Wear_Stress_Index,Failure_Probability,Risk_Category
L,298.9,309.1,2861,4.6,143,1,0,0,1,0,0,10.200000000000044,13160.6,1,False,True,False,657.8,0.995,Critical
L,298.9,309.1,1383,54.9,145,0,0,0,0,0,0,10.200000000000044,75926.7,1,False,True,False,7960.5,0.009880659482931063,Low
H,298.8,309.0,1497,43.8,147,0,0,0,0,0,0,10.199999999999989,65568.59999999999,0,True,False,False,6438.599999999999,0.005787182110782479,Low
L,298.7,309.0,1565,35.1,152,0,0,0,0,0,0,10.300000000000011,54931.5,1,False,True,False,5335.2,0.001395863117067436,Low
L,298.7,309.0,1691,30.1,154,0,0,0,0,0,0,10.300000000000011,50899.100000000006,1,False,True,False,4635.400000000001,0.004919277416739138,Low
L,298.8,309.1,1512,40.7,156,0,0,0,0,0,0,10.300000000000011,61538.4,1,False,True,False,6349.200000000001,0.001838990077095467,Low
L,298.8,309.1,1477,42.4,158,0,0,0,0,0,0,10.300000000000011,62624.8,1,False,True,False,6699.2,0.001838990077095467,Low
L,298.8,309.1,1513,40.3,160,0,0,0,0,0,0,10.300000000000011,60973.9,1,False,True,False,6448.0,0.001838990077095467,Low
M,298.8,309.0,1661,29.5,162,0,0,0,0,0,0,10.199999999999989,48999.5,2,False,False,True,4779.0,0.005719428273419116,Low
L,298.8,309.1,1378,54.4,165,0,0,0,0,0,0,10.300000000000011,74963.2,1,False,True,False,8976.0,0.0038261429172545204,Low
L,298.8,309.1,1393,52.6,167,0,0,0,0,0,0,10.300000000000011,73271.8,1,False,True,False,8784.2,0.010740557483279345,Low
M,298.8,309.0,1592,38.2,169,0,0,0,0,0,0,10.199999999999989,60814.4,2,False,False,True,6455.8,0.0027013823266256003,Low
L,298.8,309.0,1829,22.9,172,0,0,0,0,0,0,10.199999999999989,41884.1,1,False,True,False,3938.8,0.007514494709106781,Low
M,298.9,309.0,1812,25.9,174,0,0,0,0,0,0,10.100000000000025,46930.8,2,False,False,True,4506.599999999999,0.027587005691470566,Low
L,299.0,309.1,1523,38.6,177,0,0,0,0,0,0,10.100000000000025,58787.8,1,False,True,False,6832.2,0.00355706636663864,Low
L,299.0,309.1,1394,45.1,179,0,0,0,0,0,0,10.100000000000025,62869.4,1,False,True,False,8072.900000000001,0.0035122298042816356,Low
M,298.9,308.9,1679,28.7,181,0,0,0,0,0,0,10.0,48187.3,2,False,False,True,5194.7,0.04480533243180933,Low
H,298.8,308.9,1466,44.1,184,0,0,0,0,0,0,10.099999999999966,64650.6,0,True,False,False,8114.400000000001,0.004360431852796501,Low
L,298.8,308.9,1527,32.4,189,0,0,0,0,0,0,10.099999999999966,49474.8,1,False,True,False,6123.599999999999,0.008250720255978155,Low
L,298.9,309.0,1410,65.7,191,1,0,0,1,1,0,10.100000000000025,92637.0,1,False,True,False,12548.7,0.9496206091057181,Critical
M,298.9,309.0,1924,22.6,193,0,0,0,0,0,0,10.100000000000025,43482.4,2,False,False,True,4361.8,0.023867054088067795,Low
L,298.9,309.1,1452,45.5,196,0,0,0,0,0,0,10.200000000000044,66066.0,1,False,True,False,8918.0,0.004978294417627369,Low
L,298.9,309.1,1369,44.4,198,0,0,0,0,0,0,10.200000000000044,60783.6,1,False,True,False,8791.199999999999,0.020829301455427596,Low
L,299.0,309.1,1592,35.0,200,0,0,0,0,0,0,10.100000000000025,55720.0,1,False,True,False,7000.0,0.0020279914530645974,Low
L,298.9,309.0,1601,32.3,202,0,0,0,0,0,0,10.100000000000025,51712.3,1,False,True,False,6524.599999999999,0.009474212908450588,Low
L,298.8,308.9,1379,46.7,204,0,0,0,0,0,0,10.099999999999966,64399.3,1,False,True,False,9526.8,0.18670920634944163,Low
L,298.8,308.9,1461,47.9,206,0,0,0,0,0,0,10.099999999999966,69981.9,1,False,True,False,9867.4,0.10819143010747277,Low
L,298.8,308.9,1455,41.3,208,1,1,0,0,0,0,10.099999999999966,60091.49999999999,1,False,True,False,8590.4,0.5972036050370633,High
L,298.8,308.9,1398,51.5,0,0,0,0,0,0,0,10.099999999999966,71997.0,1,False,True,False,0.0,0.012558348113533353,Low
L,298.8,308.9,1402,37.9,2,0,0,0,0,0,0,10.099999999999966,53135.8,1,False,True,False,75.8,0.011002871938703458,Low
H,298.8,308.8,1445,49.9,4,0,0,0,0,0,0,10.0,72105.5,0,True,False,False,199.6,0.014549692558954185,Low
L,298.9,308.9,1450,47.5,9,0,0,0,0,0,0,10.0,68875.0,1,False,True,False,427.5,0.004726281494621322,Low
L,298.9,308.9,1453,40.8,11,0,0,0,0,0,0,10.0,59282.4,1,False,True,False,448.8,0.00040563944660828785,Low
L,299.0,309.0,1469,40.1,13,0,0,0,0,0,0,10.0,58906.9,1,False,True,False,521.3000000000001,0.00040563944660828785,Low
L,298.9,308.9,1422,47.6,15,0,0,0,0,0,0,10.0,67687.2,1,False,True,False,714.0,0.02733840321813449,Low
M,299.0,309.0,1804,26.8,17,0,0,0,0,0,0,10.0,48347.2,2,False,False,True,455.6,0.0032160911934243763,Low
H,299.0,309.0,1436,43.9,20,0,0,0,0,0,0,10.0,63040.4,0,True,False,False,878.0,0.007682331251102479,Low
L,299.0,309.0,1544,31.8,25,0,0,0,0,0,0,10.0,49099.2,1,False,True,False,795.0,0.0008754646222836302,Low
M,299.0,309.0,1419,45.2,27,0,0,0,0,0,0,10.0,64138.8,2,False,False,True,1220.4,0.050451360840979544,Low
M,298.9,308.9,1487,39.5,30,0,0,0,0,0,0,10.0,58736.5,2,False,False,True,1185.0,0.00040563944660828785,Low
L,298.9,308.9,1753,25.8,33,0,0,0,0,0,0,10.0,45227.4,1,False,True,False,851.4,0.004415898702634953,Low
L,298.9,308.9,1830,24.9,35,0,0,0,0,0,0,10.0,45567.0,1,False,True,False,871.5,0.004415898702634953,Low
M,298.9,308.9,1727,27.1,37,0,0,0,0,0,0,10.0,46801.7,2,False,False,True,1002.7,0.0037208389175208702,Low
L,299.1,309.0,1450,43.0,40,0,0,0,0,0,0,9.899999999999975,62350.0,1,False,True,False,1720.0,0.00040563944660828785,Low
L,299.0,308.9,1622,31.9,42,0,0,0,0,0,0,9.899999999999975,51741.8,1,False,True,False,1339.8,0.0008754646222836302,Low
M,299.0,309.0,1351,52.2,44,0,0,0,0,0,0,10.0,70522.2,2,False,False,True,2296.8,0.0020581112442194247,Low
M,299.0,309.0,1575,35.3,47,0,0,0,0,0,0,10.0,55597.49999999999,2,False,False,True,1659.1,0.00040563944660828785,Low
M,298.9,308.9,1750,29.9,50,0,0,0,0,0,0,10.0,52325.0,2,False,False,True,1495.0,0.0014926465742588935,Low
L,298.9,308.8,1529,32.7,53,0,0,0,0,0,0,9.900000000000034,49998.3,1,False,True,False,1733.1,0.0008754646222836302,Low
L,298.8,308.8,1523,44.4,55,0,0,0,0,0,0,10.0,67621.2,1,False,True,False,2442.0,0.004046132280553576,Low
L,298.8,308.9,1852,25.0,57,0,0,0,0,0,0,10.099999999999966,46300.0,1,False,True,False,1425.0,0.005786799215237163,Low
L,298.8,308.8,1991,20.7,59,0,0,0,0,0,0,10.0,41213.7,1,False,True,False,1221.3,0.004456718371602081,Low
L,298.8,308.8,1555,40.6,61,0,0,0,0,0,0,10.0,63133.0,1,False,True,False,2476.6,0.001776539959210499,Low
M,298.8,308.8,1441,40.5,63,0,0,0,0,0,0,10.0,58360.5,2,False,False,True,2551.5,0.003941476887358417,Low
L,298.8,308.7,1450,43.4,66,0,0,0,0,0,0,9.899999999999975,62930.0,1,False,True,False,2864.4,0.001776539959210499,Low
L,298.8,308.7,1591,31.1,68,0,0,0,0,0,0,9.899999999999975,49480.100000000006,1,False,True,False,2114.8,0.0022463651348858414,Low
L,298.8,308.7,1445,48.5,70,0,0,0,0,0,0,9.899999999999975,70082.5,1,False,True,False,3395.0,0.021749034107838284,Low
M,298.8,308.8,1497,46.8,72,0,0,0,0,0,0,10.0,70059.59999999999,2,False,False,True,3369.6,0.005018086275259419,Low
H,298.9,308.8,1621,32.7,75,0,0,0,0,0,0,9.900000000000034,53006.7,0,True,False,False,2452.5,0.0008754646222836302,Low
L,298.9,308.7,1572,34.1,80,0,0,0,0,0,0,9.800000000000011,53605.2,1,False,True,False,2728.0,0.0013052181146405955,Low
L,298.8,308.6,1872,22.5,82,0,0,0,0,0,0,9.800000000000011,42120.0,1,False,True,False,1845.0,0.005409755480520929,Low
H,298.7,308.6,1499,43.5,84,0,0,0,0,0,0,9.900000000000034,65206.5,0,True,False,False,3654.0,0.005253410148327607,Low
M,298.8,308.7,1498,39.5,89,0,0,0,0,0,0,9.899999999999975,59171.0,2,False,False,True,3515.5,0.0026761186272428066,Low
M,298.8,308.6,1486,41.9,92,0,0,0,0,0,0,9.800000000000011,62263.4,2,False,False,True,3854.8,0.0026761186272428066,Low
L,298.8,308.6,1680,29.4,95,0,0,0,0,0,0,9.800000000000011,49392.0,1,False,True,False,2793.0,0.0038587108621278964,Low
L,298.8,308.6,1431,45.7,97,0,0,0,0,0,0,9.800000000000011,65396.7,1,False,True,False,4432.900000000001,0.007203474640782656,Low
L,298.9,308.7,1564,34.1,99,0,0,0,0,0,0,9.800000000000011,53332.4,1,False,True,False,3375.9,0.0013052181146405955,Low
L,298.8,308.6,1599,33.0,101,0,0,0,0,0,0,9.800000000000011,52767.0,1,False,True,False,3333.0,0.003145943802918149,Low
M,298.8,308.6,1707,28.1,103,0,0,0,0,0,0,9.800000000000011,47966.7,2,False,False,True,2894.3,0.005991318098155387,Low
L,298.7,308.5,1467,40.7,106,0,0,0,0,0,0,9.800000000000011,59706.9,1,False,True,False,4314.200000000001,0.0013052181146405955,Low
L,298.9,308.7,1433,44.7,108,0,0,0,0,0,0,9.800000000000011,64055.100000000006,1,False,True,False,4827.6,0.0034626724253213393,Low
L,298.9,308.7,1558,41.2,110,0,0,0,0,0,0,9.800000000000011,64189.600000000006,1,False,True,False,4532.0,0.0013052181146405955,Low
L,299.0,308.8,1310,50.7,112,0,0,0,0,0,0,9.800000000000011,66417.0,1,False,True,False,5678.400000000001,0.0007449476629192367,Low
L,298.9,308.7,1546,43.4,114,0,0,0,0,0,0,9.800000000000011,67096.4,1,False,True,False,4947.599999999999,0.002826325998339622,Low
L,298.9,308.7,1727,29.4,116,0,0,0,0,0,0,9.800000000000011,50773.8,1,False,True,False,3410.4,0.002896972966387695,Low
L,298.9,308.6,1560,32.2,118,0,0,0,0,0,0,9.700000000000044,50232.00000000001,1,False,True,False,3799.6,0.0017750432903159378,Low
L,299.0,308.6,1329,60.5,120,0,0,0,0,0,0,9.600000000000025,80404.5,1,False,True,False,7260.0,0.014168432945704561,Low
L,298.9,308.6,1413,46.5,122,0,0,0,0,0,0,9.700000000000044,65704.5,1,False,True,False,5673.0,0.003247928892075462,Low
L,299.0,308.6,1587,38.6,124,0,0,0,0,0,0,9.600000000000025,61258.2,1,False,True,False,4786.400000000001,0.0019446284242942084,Low
L,298.9,308.5,1559,34.3,126,0,0,0,0,0,0,9.600000000000025,53473.7,1,False,True,False,4321.799999999999,0.00303329574286579,Low
L,298.8,308.4,1473,41.1,128,0,0,0,0,0,0,9.599999999999966,60540.3,1,False,True,False,5260.8,0.0010645487617605984,Low
L,298.8,308.4,1737,27.7,130,0,0,0,0,0,0,9.599999999999966,48114.9,1,False,True,False,3601.0,0.0055795557418837575,Low
M,298.7,308.4,1441,43.2,132,0,0,0,0,0,0,9.699999999999989,62251.2,2,False,False,True,5702.400000000001,0.0015084400627749061,Low
M,298.7,308.4,1430,49.6,135,0,0,0,0,0,0,9.699999999999989,70928.0,2,False,False,True,6696.0,0.002340999292776059,Low
L,298.8,308.4,1369,53.0,138,0,0,0,0,0,0,9.599999999999966,72557.0,1,False,True,False,7314.0,0.004697307798872032,Low
M,298.8,308.5,1711,28.5,140,0,0,0,0,0,0,9.699999999999989,48763.5,2,False,False,True,3990.0,0.005041777509164312,Low
H,298.7,308.5,1420,45.7,143,0,0,0,0,0,0,9.800000000000011,64894.00000000001,0,True,False,False,6535.1,0.002107377504530588,Low
L,298.7,308.6,1297,55.3,148,0,0,0,0,0,0,9.900000000000034,71724.09999999999,1,False,True,False,8184.4,0.0,Low
H,298.8,308.6,1449,49.4,150,0,0,0,0,0,0,9.800000000000011,71580.59999999999,0,True,False,False,7410.0,0.003608477895019482,Low
L,298.8,308.6,1268,55.8,155,0,0,0,0,0,0,9.800000000000011,70754.4,1,False,True,False,8649.0,0.0,Low
L,298.8,308.6,1511,36.1,157,0,0,0,0,0,0,9.800000000000011,54547.1,1,False,True,False,5667.7,0.00372006254096868,Low
L,298.7,308.5,1544,35.2,159,0,0,0,0,0,0,9.800000000000011,54348.8,1,False,True,False,5596.8,0.0017097517187128555,Low
M,298.6,308.4,1778,28.2,161,0,0,0,0,0,0,9.799999999999956,50139.6,2,False,False,True,4540.2,0.0088384837236426,Low
H,298.6,308.4,1407,50.5,164,0,0,0,0,0,0,9.799999999999956,71053.5,0,True,False,False,8282.0,0.006503536285034884,Low
M,298.6,308.4,1391,42.4,169,0,0,0,0,0,0,9.799999999999956,58978.4,2,False,False,True,7165.599999999999,0.004928896957971085,Low
L,298.5,308.4,1513,33.6,172,0,0,0,0,0,0,9.899999999999975,50836.8,1,False,True,False,5779.2,0.002259029423333726,Low
H,298.5,308.4,1612,36.1,174,0,0,0,0,0,0,9.899999999999975,58193.2,0,True,False,False,6281.400000000001,0.0009648400866973712,Low
L,298.4,308.4,1515,40.1,179,0,0,0,0,0,0,10.0,60751.5,1,False,True,False,7177.900000000001,0.002387384440437003,Low
M,298.3,308.3,1379,48.0,181,0,0,0,0,0,0,10.0,66192.0,2,False,False,True,8688.0,0.0,Low
L,298.4,308.3,1473,39.9,184,0,0,0,0,0,0,9.900000000000034,58772.7,1,False,True,False,7341.599999999999,0.002387384440437003,Low
L,298.4,308.3,1422,42.7,186,0,0,0,0,0,0,9.900000000000034,60719.4,1,False,True,False,7942.200000000001,0.003271560451401639,Low
M,298.4,308.2,1463,37.6,188,0,0,0,0,0,0,9.800000000000011,55008.8,2,False,False,True,7068.8,0.0013708937304075083,Low
M,298.4,308.2,1584,41.0,191,0,0,0,0,0,0,9.800000000000011,64944.0,2,False,False,True,7831.0,0.0054400686491888105,Low
L,298.4,308.2,1850,27.0,194,0,0,0,0,0,0,9.800000000000011,49950.0,1,False,True,False,5238.0,0.016351394337665703,Low
L,298.4,308.2,1528,36.2,196,0,0,0,0,0,0,9.800000000000011,55313.600000000006,1,False,True,False,7095.200000000001,0.0011479117905309876,Low
H,298.4,308.2,1987,19.8,198,0,0,0,0,0,0,9.800000000000011,39342.6,0,True,False,False,3920.4,0.007683998737350445,Low
M,298.4,308.1,1495,46.0,203,0,0,0,0,0,0,9.700000000000044,68770.0,2,False,False,True,9338.0,0.05988216368772235,Low
H,298.4,308.2,1478,43.5,206,0,0,0,0,0,0,9.800000000000011,64293.0,0,True,False,False,8961.0,0.20451437465326766,Low
M,298.4,308.2,1499,40.0,211,0,0,0,0,0,0,9.800000000000011,59960.0,2,False,False,True,8440.0,0.25406286274859663,Medium
L,298.4,308.2,1471,47.0,214,0,0,0,0,0,0,9.800000000000011,69137.0,1,False,True,False,10058.0,0.09099751305699667,Low
L,298.4,308.2,1282,60.7,216,1,0,0,0,1,0,9.800000000000011,77817.40000000001,1,False,True,False,13111.2,0.9644417052903961,Critical
L,298.3,308.1,1412,52.3,218,1,0,0,0,1,0,9.800000000000011,73847.59999999999,1,False,True,False,11401.4,0.8968774567676175,Critical
L,298.3,308.1,1586,35.5,0,0,0,0,0,0,0,9.800000000000011,56303.0,1,False,True,False,0.0,0.000164970093728291,Low
M,298.4,308.2,1468,43.8,2,0,0,0,0,0,0,9.800000000000011,64298.4,2,False,False,True,87.6,0.000164970093728291,Low
M,298.5,308.3,1440,43.6,5,0,0,0,0,0,0,9.800000000000011,62784.0,2,False,False,True,218.0,0.002108997660738422,Low
L,298.5,308.4,1733,26.0,8,0,0,0,0,0,0,9.899999999999975,45058.0,1,False,True,False,208.0,0.004471957738738197,Low
H,298.4,308.2,1612,32.6,10,0,0,0,0,0,0,9.800000000000011,52551.2,0,True,False,False,326.0,0.0006347952694036333,Low
H,298.4,308.3,1458,42.9,15,0,0,0,0,0,0,9.900000000000034,62548.2,0,True,False,False,643.5,0.000625687785669158,Low
L,298.4,308.3,1433,62.3,20,1,0,0,1,0,0,9.900000000000034,89275.9,1,False,True,False,1246.0,0.9311407437177835,Critical
L,298.4,308.3,1318,59.1,22,0,0,0,0,0,0,9.900000000000034,77893.8,1,False,True,False,1300.2,0.0,Low
M,298.4,308.2,1610,35.0,24,0,0,0,0,0,0,9.800000000000011,56350.0,2,False,False,True,840.0,0.000164970093728291,Low
L,298.2,308.1,1462,50.8,27,0,0,0,0,0,0,9.900000000000034,74269.59999999999,1,False,True,False,1371.6,0.0034031856904632373,Low
M,298.1,308.0,1924,20.8,29,0,0,0,0,0,0,9.899999999999975,40019.2,2,False,False,True,603.2,0.0010879853055690187,Low
M,298.2,308.0,1591,33.7,32,0,0,0,0,0,0,9.800000000000011,53616.7,2,False,False,True,1078.4,0.000164970093728291,Low
L,298.2,308.1,1306,58.3,35,0,0,0,0,0,0,9.900000000000034,76139.8,1,False,True,False,2040.5,0.0,Low
L,298.2,308.1,1382,43.5,37,0,0,0,0,0,0,9.900000000000034,60117.0,1,False,True,False,1609.5,0.004282701937099823,Low
L,298.2,308.1,1618,34.7,39,0,0,0,0,0,0,9.900000000000034,56144.600000000006,1,False,True,False,1353.3000000000002,0.000164970093728291,Low
L,298.2,308.2,1988,21.4,41,0,0,0,0,0,0,10.0,42543.2,1,False,True,False,877.4,0.002287792814779596,Low
L,298.2,308.2,1436,50.2,43,0,0,0,0,0,0,10.0,72087.2,1,False,True,False,2158.6,0.0144673964892115,Low
L,298.2,308.3,1304,49.8,45,0,0,0,0,0,0,10.100000000000025,64939.2,1,False,True,False,2241.0,0.0008080343478001953,Low
L,298.2,308.3,1475,49.9,47,0,0,0,0,0,0,10.100000000000025,73602.5,1,False,True,False,2345.3,0.0050012397377635735,Low
H,298.2,308.3,1824,24.2,49,0,0,0,0,0,0,10.100000000000025,44140.8,0,True,False,False,1185.8,0.0036178736584146793,Low
M,298.1,308.2,1342,48.1,54,0,0,0,0,0,0,10.099999999999966,64550.2,2,False,False,True,2597.4,0.0008658257573752198,Low
L,298.1,308.2,1485,40.7,57,0,0,0,0,0,0,10.099999999999966,60439.50000000001,1,False,True,False,2319.9,0.000164970093728291,Low
L,298.2,308.2,1667,30.6,59,0,0,0,0,0,0,10.0,51010.2,1,False,True,False,1805.4,0.0008428146045168871,Low
L,298.2,308.2,1446,38.2,61,0,0,0,0,0,0,10.0,55237.2,1,False,True,False,2330.2000000000003,0.002108997660738422,Low
L,298.1,308.3,1301,56.0,63,0,0,0,0,0,0,10.199999999999989,72856.0,1,False,True,False,3528.0,0.0038261429172545204,Low
L,298.2,308.4,1379,43.1,65,0,0,0,0,0,0,10.199999999999989,59434.9,1,False,True,False,2801.5,5.779140957502456e-05,Low
L,298.3,308.5,1606,33.6,67,0,0,0,0,0,0,10.199999999999989,53961.600000000006,1,False,True,False,2251.2000000000003,0.0003519192033415635,Low
M,298.3,308.4,1539,43.4,69,0,0,0,0,0,0,10.099999999999966,66792.59999999999,2,False,False,True,2994.6,0.004050430644731563,Low
L,298.2,308.4,1477,49.9,72,0,0,0,0,0,0,10.199999999999989,73702.3,1,False,True,False,3592.8,0.001758490785236225,Low
L,298.2,308.4,1666,34.6,74,0,0,0,0,0,0,10.199999999999989,57643.600000000006,1,False,True,False,2560.4,0.00031926918557482033,Low
H,298.2,308.4,1398,51.8,76,0,0,0,0,0,0,10.199999999999989,72416.4,0,True,False,False,3936.8,0.0056638212330681415,Low
H,298.2,308.4,1678,34.6,81,0,0,0,0,0,0,10.199999999999989,58058.8,0,True,False,False,2802.6,0.0007799868775156874,Low
M,298.2,308.5,2678,10.7,86,1,0,0,1,0,0,10.300000000000011,28654.6,2,False,False,True,920.2,0.985,Critical
L,298.3,308.5,1453,42.9,89,0,0,0,0,0,0,10.199999999999989,62333.7,1,False,True,False,3818.1,0.0003519192033415635,Low
H,298.3,308.6,1432,49.5,91,0,0,0,0,0,0,10.300000000000011,70884.0,0,True,False,False,4504.5,0.010608147132511347,Low
M,298.4,308.6,1527,40.9,96,0,0,0,0,0,0,10.200000000000044,62454.3,2,False,False,True,3926.4,0.0003519192033415635,Low
